          source           |     relationship     |          target           
 Anne                      | Child Of             | Anne Hyde
 Anne                      | Lives In             | Canada
 Anne                      | Child Of             | King James
 Anne                      | Spouse Of            | Michael
 Anne                      | Spouse Of            | Richard II
 Anne                      | Sibling Of           | Wenceslaus
 Anne Boleyn               | Parent Of            | Elisabeth I of England
 Anne Boleyn               | Parent Of            | Elizabeth I
 Anne Boleyn               | Spouse Of            | Henry
 Anne Bolyne               | Sibling Of           | Mary Bolyne
 Anne Chamberlain          | Works For            | Idaho Observer
 Anne C. Mulkern           | Employee Of          | the Denver Post
 Anne Hyde                 | Spouse Of            | King James
 Anne of Austria           | Child Of             | Philip III of Spain
 Anne of Bohemia           | Child Of             | Charles IV
 Anne of Bohemia           | Spouse Of            | Richard II
 Anne Purcell Higgins      | Parent Of            | Margaret Sanger
 Anne Schuchat             | Employee Of          | CDC
 Anne Somerset             | Child Of             | David Somerset
 Anne Somerset             | Associate Of         | Edmé Pirot
 Anne Somerset             | Spouse Of            | Matthew Xavier Maillard
 Annette Freireich         | Child Of             | Mary Freireich
 Annette Whittemore        | Parent Of            | Andrea Whittemore-Goad
 Ann H. Titlon             | Member Of            | American Academy of Neuro
 Annibaldo                 | Lives In             | Rome
 Annibaldo                 | Lives In             | Santa Maria Maggiore
 Annibale Bugnini          | Member Of            | P2
 Annie Parlane MacPherson  | Lives In             | Scotland
 Ann-Margret               | Graduate Of          | New Trier High School
 Ann Wolbert Burgess       | Employee Of          | University of Pennsylvani
 Annysa Johnson            | Employee Of          | Archdiocese of Milwaukee
 Annysa Johnson            | Colleague Of         | Paul Gross
 Anselmo Orcoyen           | Employee Of          | Ministry of Foreign Affai
 Ante Djuric               | Lives In             | District of Dvor
 Ante Djuric               | Lives In             | Divusa
 Ante Djuritch             | Works For            | Commune of Divusa
 Ante Klaric               | Member Of            | Ustashi
 Ante Klaric Tepelun       | Lives In             | Tramosnica
 Ante Klaritch             | Member Of            | Tramosnica
 Ante Pavelic              | Lives In             | Argentina
 Ante Pavelic              | Lives In             | Argentine
 Ante Pavelic              | Leader Of            | Independent Catholic Stat
 Ante Pavelic              | Collaborator Of      | Ivan Mihailoff
 Ante Pavelic              | Lives In             | Rome
 Ante Pavelic              | Lives In             | South America
 Ante Pavelic              | Interacted With      | Supreme Allied Command fo
 Ante Pavelic              | Leader Of            | Ustasha
 Ante Pavelic              | Founder Of           | Ustashi
 Ante Pavelic              | Leader Of            | Ustashi
 Ante Pavelic              | Superior Of          | Zvonko Brekalo
 Ante Pavelich             | Founder Of           | Croatia
 Ante Pavelich             | Founder Of           | Ustashi State of Croatia
 Ante Pavelitch            | Lives In             | Argentina
 Ante Pavelitch            | Lives In             | Buenos-Aires
 Ante Pavelitch            | Enemy Of             | King Alexander I
 Ante Pavelitch            | Enemy Of             | Louis Barthou
 Ante Pavelitch            | Ally Of              | Mussolini
 Ante Pavelitch            | Interacted With      | Pope Pius XII
 Ante Pavelitch            | Leader Of            | Ustashis
 Ante Pavelitch            | Interacted With      | Victor-Emmanuel III
 Ante Pavelitoh            | Leader Of            | Ustashis
 Ante Starcevic            | Founder Of           | Croatian Law Party
 Anthony Babington         | Associate Of         | Babington Plot
 Anthony Bongiorno         | Employer Of          | Adam James
 Anthony Bongiorno         | Employee Of          | St. Mary’s parish
 Anthony Charles Lynton Bl | Member Of            | Labour Party
 Anthony Charles Lynton Bl | Graduate Of          | St. John’s, Oxford
 Anthony Escobart          | Member Of            | Jesuits
 Anthony Fauci             | Spouse Of            | Christine Grady
 Anthony Fauci             | Graduate Of          | Cornell
 Anthony Fauci             | Employee Of          | Fort Detrick
 Anthony Fauci             | Works For            | Fort Detrick
 Anthony Fauci             | Employer Of          | Georgetown
 Anthony Fauci             | Attended             | Holy Cross college
 Anthony Fauci             | Employee Of          | National Institute of All
 Anthony Fauci             | Employer Of          | National Institute of All
 Anthony Fauci             | Leader Of            | National Institute of All
 Anthony Fauci             | Leader Of            | National Institute of All
 Anthony Fauci             | Employee Of          | National Institute of Hea
 Anthony Fauci             | Employee Of          | National Institutes of He
 Anthony Fauci             | Attended             | Our Lady of Guadeloupe Gr
 Anthony Fauci             | Attended             | Regis High School
 Anthony Fauci             | Employee Of          | United States government
 Anthony Fauci             | Employee Of          | U.S. National Institutes 
 Anthony Fauci             | Leader Of            | White House coronavirus t
 Anthony Foster            | Collaborator Of      | Anthony Foster State Fune
 Anthony Foster            | Spouse Of            | Chrissie Foster
 Anthony Foster            | Parent Of            | Emma
 Anthony Foster            | Parent Of            | Katie
 Anthony John Abbott       | Attended             | St. Ignatius College
 Anthony Joseph Maskell    | Works For            | Baltimore County Police
 Anthony Joseph Maskell    | Employee Of          | Keogh
 Anthony Joseph Maskell    | Works For            | Maryland National Guard
 Anthony Joseph Maskell    | Works For            | Maryland State Police
 Anthony Joseph Maskell    | Works For            | St. Clement Church
 Anthony O'Brien           | Graduate Of          | Jesuit Boston College
 Anthony O'Brien           | Employee Of          | Raytheon
 Antichrist                | Opponent Of          | Christ
 Antipas                   | Member Of            | early Christian church
 Antoine                   | Child Of             | Gérard Cauvín
 Antoine                   | Sibling Of           | Jehán Cauvín
 Antoine                   | Sibling Of           | John Calvin
 Antoine                   | Sibling Of           | Marie de Brinvilliers
 Antoine Arneys            | Cousin Of            | Guillaume de Trie
 Antoine Béchamp           | Member Of            | French Academy of Science
 Antoine Béchamp           | Rival Of             | Louis Pasteur
 Antoine d'Aubray          | Adversary Of         | Gaudin de Sainte-Croix
 Antoine de Bourbon        | Parent Of            | Charles IX
 Antoine de Bourbon        | Parent Of            | Francis II
 Antoine de Bourbon        | Parent Of            | Henry III
 Antoine d'Estaing         | Lives In             | Angouleme
 Antoine Dreux d´Aubray    | Parent Of            | Marie de Brinvilliers
 Antoine Escalin des Aimar | Attended             | Italian Wars
 Antoine Gobelin           | Employee Of          | French army
 Antoine Gobelin           | Associate Of         | Gaudin de Sainte-Croix
 Antoine Gobelin           | Member Of            | Gobelin dye manufacturing
 Antoine Gobelin           | Leader Of            | Normandy regiment
 Antoine Guerini           | Leader Of            | Corsican Mafia
 Antoine of Navarre        | Member Of            | House of Bourbon
 Antoinette de Bourbon     | Parent Of            | The duke
 Anton Aksamovitch         | Leader Of            | Bishopric of Zagreb
 Anton Djuric              | Employer Of          | Segestin
 Antonino Salvo            | Member Of            | Grand Orient of Italy
 Antonin Scalia            | Member Of            | Opus Dei
 Antonin Scalia            | Member Of            | Roman Catholic Knights of
 Antonin Scalia            | Member Of            | Supreme Court
 Antonio                   | Lives In             | Massa
